Object_ID,County,Municipality,GIS_Acres
3432,Atlantic,Absecon City,0.46011384
6962,Atlantic,Absecon City,7.5263865
12011,Atlantic,Absecon City,0.48708522
12586,Atlantic,Absecon City,0.12396727
13334,Atlantic,Absecon City,0.46011447
13608,Atlantic,Absecon City,1.42436583
13842,Atlantic,Absecon City,0.17211737
14819,Atlantic,Absecon City,13.10094608
16282,Atlantic,Absecon City,0.06198342
16602,Atlantic,Absecon City,0.06198364
16736,Atlantic,Absecon City,15.77210835
18818,Atlantic,Absecon City,0.52731714
20345,Atlantic,Absecon City,1.60617534
25780,Atlantic,Absecon City,0.1584023
27011,Atlantic,Absecon City,1.93368471
27184,Atlantic,Absecon City,0.12396741
28517,Atlantic,Absecon City,0.12396744
29144,Atlantic,Absecon City,0.12396737
29192,Atlantic,Absecon City,2.62128814
29642,Atlantic,Absecon City,0.24793496
30954,Atlantic,Absecon City,3.70962172
38246,Atlantic,Absecon City,3.32712542
39384,Atlantic,Absecon City,1.42834429
40964,Atlantic,Absecon City,0.23890478
42817,Atlantic,Absecon City,1.2757668
43074,Atlantic,Absecon City,0.460113
43426,Atlantic,Absecon City,3.4200696
44826,Atlantic,Absecon City,0.14197689
44892,Atlantic,Absecon City,3.46177659
45954,Atlantic,Absecon City,3.07829059
46885,Atlantic,Absecon City,0.2479351
49911,Atlantic,Absecon City,2.73973813
51245,Atlantic,Absecon City,0.460113
52959,Atlantic,Absecon City,0.07575837
53119,Atlantic,Absecon City,0.49963941
53994,Atlantic,Absecon City,1.54581599
54644,Atlantic,Absecon City,4.30524335
54724,Atlantic,Absecon City,0.46011291
55718,Atlantic,Absecon City,1.30432711
56415,Atlantic,Absecon City,0.32024887
56526,Atlantic,Absecon City,1.78091437
57119,Atlantic,Absecon City,0.46011257
58329,Atlantic,Absecon City,3.61027424
58940,Atlantic,Absecon City,1.26702048
60831,Atlantic,Absecon City,0.49574981
61062,Atlantic,Absecon City,3.58984515
61617,Atlantic,Absecon City,0.47520806
64267,Atlantic,Absecon City,0.36364952
65250,Atlantic,Absecon City,0.4591388
66825,Atlantic,Absecon City,0.43115776
67087,Atlantic,Absecon City,0.80062131
67335,Atlantic,Absecon City,0.46011364
67708,Atlantic,Absecon City,3.30060916
68480,Atlantic,Absecon City,0.46011418
69324,Atlantic,Absecon City,2.00242594
70076,Atlantic,Absecon City,0.4591388
70666,Atlantic,Absecon City,3.53076908
70969,Atlantic,Absecon City,3.63255002
71334,Atlantic,Absecon City,17.11013548
71337,Atlantic,Absecon City,23.94813395
71338,Atlantic,Absecon City,22.04394258
72031,Atlantic,Absecon City,78.17910341
72032,Atlantic,Absecon City,11.94470127
72034,Atlantic,Absecon City,4.27222094
73064,Atlantic,Absecon City,110.6943571
76560,Atlantic,Absecon City,0.460113
84325,Atlantic,Absecon City,14.46180332
87965,Atlantic,Absecon City,0.46011332
1141,Atlantic,Atlantic City,0.18213076
1142,Atlantic,Atlantic City,0.17800763
1166,Atlantic,Atlantic City,0.18984182
1167,Atlantic,Atlantic City,0.19012152
1169,Atlantic,Atlantic City,0.14253558
1170,Atlantic,Atlantic City,0.76079001
1237,Atlantic,Atlantic City,4.88764754
4139,Atlantic,Atlantic City,4.38945756
4148,Atlantic,Atlantic City,0.76011059
5286,Atlantic,Atlantic City,0.85976279
6121,Atlantic,Atlantic City,0.16494001
6124,Atlantic,Atlantic City,0.6409304
6127,Atlantic,Atlantic City,0.46234331
8321,Atlantic,Atlantic City,2.11299504
8334,Atlantic,Atlantic City,0.36418889
8385,Atlantic,Atlantic City,3.71359111
8685,Atlantic,Atlantic City,0.29679198
9951,Atlantic,Atlantic City,47.79271879
10440,Atlantic,Atlantic City,0.03477306
10443,Atlantic,Atlantic City,0.08492975
11240,Atlantic,Atlantic City,0.54308539
11333,Atlantic,Atlantic City,0.79068237
11435,Atlantic,Atlantic City,0.0177488
11479,Atlantic,Atlantic City,0.06887135
11575,Atlantic,Atlantic City,0.54514914
11586,Atlantic,Atlantic City,0.02280003
11634,Atlantic,Atlantic City,0.07000188
11693,Atlantic,Atlantic City,0.39352041
11757,Atlantic,Atlantic City,0.02965684
11824,Atlantic,Atlantic City,0.06887154
11888,Atlantic,Atlantic City,0.01632548
11916,Atlantic,Atlantic City,0.47649769
12015,Atlantic,Atlantic City,0.1875631
12034,Atlantic,Atlantic City,0.35718103
12250,Atlantic,Atlantic City,0.95212442
12269,Atlantic,Atlantic City,2.23719135
12479,Atlantic,Atlantic City,31.05612625
12993,Atlantic,Atlantic City,0.65164475
13226,Atlantic,Atlantic City,2.1955668
13237,Atlantic,Atlantic City,0.57775121
13265,Atlantic,Atlantic City,0.67721755
13525,Atlantic,Atlantic City,0.35939095
13905,Atlantic,Atlantic City,0.66865443
13966,Atlantic,Atlantic City,1.01760998
13989,Atlantic,Atlantic City,0.21692393
14003,Atlantic,Atlantic City,0.17892752
14118,Atlantic,Atlantic City,0.44479455
14153,Atlantic,Atlantic City,1.13104412
14568,Atlantic,Atlantic City,0.4069634
14614,Atlantic,Atlantic City,0.06885336
14826,Atlantic,Atlantic City,1.0227154
14912,Atlantic,Atlantic City,5.04180507
15103,Atlantic,Atlantic City,0.28840619
15157,Atlantic,Atlantic City,1.90943372
15260,Atlantic,Atlantic City,0.01574301
15354,Atlantic,Atlantic City,96.90324798
15509,Atlantic,Atlantic City,0.81953976
15542,Atlantic,Atlantic City,2.09461841
15588,Atlantic,Atlantic City,0.06886722
15800,Atlantic,Atlantic City,0.4077109
15963,Atlantic,Atlantic City,0.27968314
16064,Atlantic,Atlantic City,0.06890166
16501,Atlantic,Atlantic City,1.73381233
16894,Atlantic,Atlantic City,2.54524509
17487,Atlantic,Atlantic City,0.75429142
17695,Atlantic,Atlantic City,92.60617527
18281,Atlantic,Atlantic City,0.86812414
18284,Atlantic,Atlantic City,0.74828082
18292,Atlantic,Atlantic City,0.28313302
18367,Atlantic,Atlantic City,0.26534448
18858,Atlantic,Atlantic City,3.02222501
19124,Atlantic,Atlantic City,1.53981056
19602,Atlantic,Atlantic City,0.0197085
19605,Atlantic,Atlantic City,2.03736128
20329,Atlantic,Atlantic City,0.25268923
20529,Atlantic,Atlantic City,1.29098317
20597,Atlantic,Atlantic City,0.70253709
20751,Atlantic,Atlantic City,0.43833545
21204,Atlantic,Atlantic City,0.149705
21240,Atlantic,Atlantic City,0.39894995
21985,Atlantic,Atlantic City,0.6691768
25575,Atlantic,Atlantic City,0.12035709
25666,Atlantic,Atlantic City,0.06887421
25667,Atlantic,Atlantic City,0.65584881
26265,Atlantic,Atlantic City,0.9765598
26819,Atlantic,Atlantic City,1.53604035
27320,Atlantic,Atlantic City,0.54846367
27434,Atlantic,Atlantic City,1.56930226
27438,Atlantic,Atlantic City,2.7158156
27587,Atlantic,Atlantic City,0.10608548
27986,Atlantic,Atlantic City,0.96477122
28021,Atlantic,Atlantic City,0.00346261
28039,Atlantic,Atlantic City,0.30045858
28102,Atlantic,Atlantic City,1.7134758
28249,Atlantic,Atlantic City,0.22523125
28271,Atlantic,Atlantic City,1.16684132
28378,Atlantic,Atlantic City,2.15802645
28427,Atlantic,Atlantic City,0.3579307
28717,Atlantic,Atlantic City,0.42953323
28783,Atlantic,Atlantic City,0.29552806
28800,Atlantic,Atlantic City,0.01618843
28859,Atlantic,Atlantic City,2.63644242
29109,Atlantic,Atlantic City,0.56940587
29604,Atlantic,Atlantic City,1.4425576
29621,Atlantic,Atlantic City,0.01776307
29725,Atlantic,Atlantic City,0.75334949
29951,Atlantic,Atlantic City,1.17447909
30004,Atlantic,Atlantic City,0.04592062
30028,Atlantic,Atlantic City,0.19201253
30496,Atlantic,Atlantic City,0.51013025
30525,Atlantic,Atlantic City,0.0112123
30669,Atlantic,Atlantic City,3.02686665
30682,Atlantic,Atlantic City,0.59221794
31072,Atlantic,Atlantic City,0.41267015
31862,Atlantic,Atlantic City,0.08304804
31912,Atlantic,Atlantic City,1.12894146
32088,Atlantic,Atlantic City,0.88889114
32090,Atlantic,Atlantic City,0.44977943
32479,Atlantic,Atlantic City,1.24603136
37592,Atlantic,Atlantic City,2.50698964
37670,Atlantic,Atlantic City,0.31185241
37973,Atlantic,Atlantic City,0.61671485
38590,Atlantic,Atlantic City,1.39863195
38825,Atlantic,Atlantic City,0.5080567
39006,Atlantic,Atlantic City,0.61613807
39054,Atlantic,Atlantic City,0.2240034
39102,Atlantic,Atlantic City,0.12511747
39265,Atlantic,Atlantic City,0.98714839
39285,Atlantic,Atlantic City,3.66315969
39479,Atlantic,Atlantic City,0.78531919
39565,Atlantic,Atlantic City,0.51497654
39577,Atlantic,Atlantic City,0.13111423
39671,Atlantic,Atlantic City,0.20322059
39725,Atlantic,Atlantic City,2.00394451
39793,Atlantic,Atlantic City,0.5348977
39814,Atlantic,Atlantic City,0.08316593
39829,Atlantic,Atlantic City,1.36646069
39983,Atlantic,Atlantic City,0.71606782
40175,Atlantic,Atlantic City,0.61377848
40352,Atlantic,Atlantic City,0.72382071
40557,Atlantic,Atlantic City,0.05449871
40664,Atlantic,Atlantic City,0.48441329
40751,Atlantic,Atlantic City,0.7083188
40752,Atlantic,Atlantic City,0.60430748
40774,Atlantic,Atlantic City,0.57461331
40846,Atlantic,Atlantic City,0.18250003
40862,Atlantic,Atlantic City,21.07689197
40897,Atlantic,Atlantic City,2.51524144
41307,Atlantic,Atlantic City,2.35947536
41559,Atlantic,Atlantic City,0.65450433
41621,Atlantic,Atlantic City,0.08615429
42011,Atlantic,Atlantic City,0.43652959
42027,Atlantic,Atlantic City,2.16747487
42148,Atlantic,Atlantic City,0.80066056
42392,Atlantic,Atlantic City,0.04317629
42622,Atlantic,Atlantic City,0.03218589
42800,Atlantic,Atlantic City,88.6660855
42806,Atlantic,Atlantic City,0.70635823
42930,Atlantic,Atlantic City,0.35721441
43137,Atlantic,Atlantic City,1.59594819
43280,Atlantic,Atlantic City,0.39918502
43284,Atlantic,Atlantic City,0.05327501
43286,Atlantic,Atlantic City,1.62925035
43438,Atlantic,Atlantic City,1.03592682
43448,Atlantic,Atlantic City,0.07003072
43502,Atlantic,Atlantic City,1.01114975
43540,Atlantic,Atlantic City,1.04919758
43606,Atlantic,Atlantic City,0.72977897
43966,Atlantic,Atlantic City,1.43119243
44476,Atlantic,Atlantic City,0.50420477
44688,Atlantic,Atlantic City,1.21482548
44818,Atlantic,Atlantic City,0.39245325
45105,Atlantic,Atlantic City,0.3997143
45316,Atlantic,Atlantic City,0.22958881
45357,Atlantic,Atlantic City,0.3180819
45400,Atlantic,Atlantic City,0.53197651
45563,Atlantic,Atlantic City,0.42339377
45641,Atlantic,Atlantic City,0.86906699
45776,Atlantic,Atlantic City,0.66368068
46125,Atlantic,Atlantic City,0.1565756
46345,Atlantic,Atlantic City,0.70715044
46395,Atlantic,Atlantic City,0.86343526
46525,Atlantic,Atlantic City,1.77003473
46601,Atlantic,Atlantic City,0.97628733
46683,Atlantic,Atlantic City,0.84220934
46726,Atlantic,Atlantic City,0.7927465
46803,Atlantic,Atlantic City,0.17498946
46869,Atlantic,Atlantic City,0.63016496
46938,Atlantic,Atlantic City,0.56499427
47061,Atlantic,Atlantic City,0.17324051
47228,Atlantic,Atlantic City,9.22588433
47313,Atlantic,Atlantic City,0.08321826
47463,Atlantic,Atlantic City,0.3326122
47551,Atlantic,Atlantic City,2.4395844
47773,Atlantic,Atlantic City,0.75057244
48005,Atlantic,Atlantic City,0.20555124
48173,Atlantic,Atlantic City,0.42514139
48176,Atlantic,Atlantic City,0.59876056
48284,Atlantic,Atlantic City,1.99569543
48745,Atlantic,Atlantic City,0.43851509
48999,Atlantic,Atlantic City,2.89852213
49222,Atlantic,Atlantic City,1.22692502
49284,Atlantic,Atlantic City,0.49223292
49720,Atlantic,Atlantic City,1.26099847
49770,Atlantic,Atlantic City,0.03414997
49846,Atlantic,Atlantic City,0.57812277
50104,Atlantic,Atlantic City,0.01679384
50130,Atlantic,Atlantic City,0.91750035
50171,Atlantic,Atlantic City,0.60242118
50210,Atlantic,Atlantic City,0.00301727
50276,Atlantic,Atlantic City,0.37197027
50295,Atlantic,Atlantic City,0.20486423
50407,Atlantic,Atlantic City,0.8598635
50989,Atlantic,Atlantic City,0.23697842
51461,Atlantic,Atlantic City,0.41902802
51473,Atlantic,Atlantic City,2.90685677
51514,Atlantic,Atlantic City,0.52033424
51605,Atlantic,Atlantic City,0.68045491
51672,Atlantic,Atlantic City,1.18548563
51802,Atlantic,Atlantic City,52.37858954
51930,Atlantic,Atlantic City,0.60481133
52008,Atlantic,Atlantic City,0.09756324
52119,Atlantic,Atlantic City,0.02991391
52320,Atlantic,Atlantic City,0.00754699
52457,Atlantic,Atlantic City,0.02600667
52475,Atlantic,Atlantic City,0.65171423
52548,Atlantic,Atlantic City,0.60271828
52558,Atlantic,Atlantic City,0.47397711
52585,Atlantic,Atlantic City,0.61385481
52721,Atlantic,Atlantic City,0.16113175
52860,Atlantic,Atlantic City,0.34953981
52875,Atlantic,Atlantic City,0.50536497
53058,Atlantic,Atlantic City,0.54335308
53163,Atlantic,Atlantic City,1.26334276
53332,Atlantic,Atlantic City,0.02997861
53407,Atlantic,Atlantic City,0.49329441
53655,Atlantic,Atlantic City,0.08322937
53848,Atlantic,Atlantic City,0.58915389
53951,Atlantic,Atlantic City,0.13447714
54008,Atlantic,Atlantic City,3.33750118
54499,Atlantic,Atlantic City,0.39695208
54538,Atlantic,Atlantic City,1.28016918
54767,Atlantic,Atlantic City,0.60085403
54958,Atlantic,Atlantic City,0.30515762
55249,Atlantic,Atlantic City,0.96938385
55553,Atlantic,Atlantic City,0.39809025
55560,Atlantic,Atlantic City,0.08322974
55583,Atlantic,Atlantic City,0.61241932
55666,Atlantic,Atlantic City,1.28537084
55905,Atlantic,Atlantic City,4.5113491
55971,Atlantic,Atlantic City,0.12283231
56078,Atlantic,Atlantic City,0.02897642
56102,Atlantic,Atlantic City,1.19989434
56200,Atlantic,Atlantic City,1.8333517
56947,Atlantic,Atlantic City,0.01777418
57052,Atlantic,Atlantic City,0.02263286
57314,Atlantic,Atlantic City,0.785905
57427,Atlantic,Atlantic City,0.65709262
57476,Atlantic,Atlantic City,0.5572047
57657,Atlantic,Atlantic City,0.42881073
57874,Atlantic,Atlantic City,1.27541135
58245,Atlantic,Atlantic City,49.6945823
58258,Atlantic,Atlantic City,0.08585456
58661,Atlantic,Atlantic City,0.99603498
58740,Atlantic,Atlantic City,0.6479567
58830,Atlantic,Atlantic City,0.15695932
58869,Atlantic,Atlantic City,2.5898126
58921,Atlantic,Atlantic City,0.33952475
58930,Atlantic,Atlantic City,2.18073072
59169,Atlantic,Atlantic City,1.26563246
59258,Atlantic,Atlantic City,0.93891169
59323,Atlantic,Atlantic City,1.1879509
59726,Atlantic,Atlantic City,2.48894484
59878,Atlantic,Atlantic City,0.0158342
60052,Atlantic,Atlantic City,1.21307658
60102,Atlantic,Atlantic City,0.85647732
60121,Atlantic,Atlantic City,1.4971426
60152,Atlantic,Atlantic City,0.07000189
60583,Atlantic,Atlantic City,1.78099734
60654,Atlantic,Atlantic City,0.52359011
60658,Atlantic,Atlantic City,0.66653017
60804,Atlantic,Atlantic City,0.03780422
60843,Atlantic,Atlantic City,111.871386
60921,Atlantic,Atlantic City,0.57442169
61046,Atlantic,Atlantic City,0.11478829
61099,Atlantic,Atlantic City,0.30103486
61130,Atlantic,Atlantic City,0.60482779
61508,Atlantic,Atlantic City,0.53717531
61623,Atlantic,Atlantic City,0.59188244
61735,Atlantic,Atlantic City,0.15781892
61887,Atlantic,Atlantic City,0.08322974
61894,Atlantic,Atlantic City,0.62162306
62016,Atlantic,Atlantic City,1.01623352
62367,Atlantic,Atlantic City,0.93884995
62431,Atlantic,Atlantic City,1.1396391
62533,Atlantic,Atlantic City,0.14112567
62669,Atlantic,Atlantic City,4.2916337
62940,Atlantic,Atlantic City,3.06771182
62960,Atlantic,Atlantic City,0.83870542
63064,Atlantic,Atlantic City,3.00274804
63507,Atlantic,Atlantic City,0.50956789
64062,Atlantic,Atlantic City,0.02834468
64077,Atlantic,Atlantic City,2.46978539
64251,Atlantic,Atlantic City,11.02776382
64261,Atlantic,Atlantic City,1.20521763
64536,Atlantic,Atlantic City,0.09756356
64684,Atlantic,Atlantic City,0.06887126
65046,Atlantic,Atlantic City,0.87969998
65228,Atlantic,Atlantic City,0.46064572
65468,Atlantic,Atlantic City,4.55445048
65480,Atlantic,Atlantic City,0.22158737
65593,Atlantic,Atlantic City,0.54877729
66133,Atlantic,Atlantic City,2.43530787
66346,Atlantic,Atlantic City,0.36332563
66405,Atlantic,Atlantic City,0.55476851
66425,Atlantic,Atlantic City,0.07000672
66475,Atlantic,Atlantic City,0.89673249
66685,Atlantic,Atlantic City,0.36503215
66790,Atlantic,Atlantic City,1.74318246
67324,Atlantic,Atlantic City,10.02370534
67371,Atlantic,Atlantic City,0.18363925
67857,Atlantic,Atlantic City,1.4663625
68072,Atlantic,Atlantic City,0.10372366
68090,Atlantic,Atlantic City,2.50267003
68430,Atlantic,Atlantic City,0.07153612
68461,Atlantic,Atlantic City,1.3518025
68564,Atlantic,Atlantic City,0.05141573
68613,Atlantic,Atlantic City,0.28846862
68685,Atlantic,Atlantic City,0.49173322
68768,Atlantic,Atlantic City,0.48476506
68866,Atlantic,Atlantic City,0.31499245
68932,Atlantic,Atlantic City,0.20020111
69045,Atlantic,Atlantic City,0.23387645
69056,Atlantic,Atlantic City,20.64500185
69108,Atlantic,Atlantic City,1.58165596
69572,Atlantic,Atlantic City,1.83399941
69614,Atlantic,Atlantic City,0.07110224
69708,Atlantic,Atlantic City,0.15786471
70323,Atlantic,Atlantic City,2.65658401
70452,Atlantic,Atlantic City,0.72791865
70478,Atlantic,Atlantic City,0.38432764
70597,Atlantic,Atlantic City,0.03630893
70734,Atlantic,Atlantic City,2.15038254
70988,Atlantic,Atlantic City,0.82077282
71191,Atlantic,Atlantic City,0.06887154
74476,Atlantic,Atlantic City,0.2811643
77316,Atlantic,Atlantic City,2.71907452
77605,Atlantic,Atlantic City,0.37597548
77977,Atlantic,Atlantic City,4.08917386
79260,Atlantic,Atlantic City,11.5939022
80281,Atlantic,Atlantic City,0.58265089
81071,Atlantic,Atlantic City,0.06427468
82749,Atlantic,Atlantic City,2.1323069
85289,Atlantic,Atlantic City,0.40287772
85484,Atlantic,Atlantic City,1.75488318
86992,Atlantic,Atlantic City,0.36772776
89751,Atlantic,Atlantic City,0.16768967
349,Atlantic,Brigantine City,0.0574074
507,Atlantic,Brigantine City,27.07922977
508,Atlantic,Brigantine City,11.97032779
510,Atlantic,Brigantine City,11.38090337
918,Atlantic,Brigantine City,320.7568195
1286,Atlantic,Brigantine City,326.3401311
1824,Atlantic,Brigantine City,273.8272348
3043,Atlantic,Brigantine City,0.97565003
4029,Atlantic,Brigantine City,0.57207213
4250,Atlantic,Brigantine City,43.94737735
4252,Atlantic,Brigantine City,1.65615068
4253,Atlantic,Brigantine City,0.86772811
5504,Atlantic,Brigantine City,13.96823293
5505,Atlantic,Brigantine City,19.86582886
5709,Atlantic,Brigantine City,436.7560816
6235,Atlantic,Brigantine City,127.683901
6920,Atlantic,Brigantine City,81.90332652
6992,Atlantic,Brigantine City,4.24297833
7340,Atlantic,Brigantine City,0.05739113
7341,Atlantic,Brigantine City,0.06219917
7342,Atlantic,Brigantine City,34.66640328
7343,Atlantic,Brigantine City,0.06049267
9485,Atlantic,Brigantine City,19.89630525
9588,Atlantic,Brigantine City,278.4900796
9612,Atlantic,Brigantine City,10.16648743
10981,Atlantic,Brigantine City,0.0898224
11175,Atlantic,Brigantine City,1.8027135
12151,Atlantic,Brigantine City,0.21278178
12664,Atlantic,Brigantine City,0.08258676
12793,Atlantic,Brigantine City,0.29115468
14746,Atlantic,Brigantine City,0.28078978
15445,Atlantic,Brigantine City,2.95892437
15665,Atlantic,Brigantine City,0.07725202
16032,Atlantic,Brigantine City,9.8349947
16176,Atlantic,Brigantine City,0.02598611
16211,Atlantic,Brigantine City,0.07555155
16601,Atlantic,Brigantine City,0.09918525
18524,Atlantic,Brigantine City,0.26248544
25311,Atlantic,Brigantine City,0.06788113
25312,Atlantic,Brigantine City,0.07237512
25478,Atlantic,Brigantine City,6.00821613
26155,Atlantic,Brigantine City,0.07791371
26156,Atlantic,Brigantine City,0.07125811
26157,Atlantic,Brigantine City,0.09885578
28505,Atlantic,Brigantine City,35.32905466
28567,Atlantic,Brigantine City,0.0552042
37634,Atlantic,Brigantine City,41.19554964
39775,Atlantic,Brigantine City,4.21870405
40477,Atlantic,Brigantine City,0.83244096
40789,Atlantic,Brigantine City,141.0761361
42698,Atlantic,Brigantine City,0.12803363
44676,Atlantic,Brigantine City,0.17979184
45573,Atlantic,Brigantine City,0.15216002
50471,Atlantic,Brigantine City,0.07255947
50550,Atlantic,Brigantine City,0.26918042
54102,Atlantic,Brigantine City,0.14508176
55183,Atlantic,Brigantine City,0.21309049
55807,Atlantic,Brigantine City,0.08407963
56846,Atlantic,Brigantine City,194.1990559
62673,Atlantic,Brigantine City,0.78155948
64119,Atlantic,Brigantine City,0.08582132
69985,Atlantic,Brigantine City,0.06516779
70073,Atlantic,Brigantine City,0.11538832
72526,Atlantic,Brigantine City,0.93153862
76512,Atlantic,Brigantine City,3.23926475
76766,Atlantic,Brigantine City,180.2223337
77369,Atlantic,Brigantine City,36.7464935
78517,Atlantic,Brigantine City,8.73341277
79546,Atlantic,Brigantine City,9.30995734
81536,Atlantic,Brigantine City,40.04667008
81537,Atlantic,Brigantine City,14.11270217
86138,Atlantic,Brigantine City,83.22190901
86488,Atlantic,Brigantine City,2.13908612
87802,Atlantic,Brigantine City,2.00857994
88558,Atlantic,Brigantine City,1.23972007
89143,Atlantic,Brigantine City,40.0958127
89447,Atlantic,Brigantine City,0.71917987
89653,Atlantic,Brigantine City,204.4644376
4760,Atlantic,Buena Borough,19.91183429
7306,Atlantic,Buena Borough,100.7497672
42616,Atlantic,Buena Borough,16.92000855
47270,Atlantic,Buena Borough,6.33198053
47830,Atlantic,Buena Borough,41.01250298
49347,Atlantic,Buena Borough,40.8141882
50787,Atlantic,Buena Borough,0.0835976
64386,Atlantic,Buena Borough,2.52658062
77309,Atlantic,Buena Borough,1.28744285
85501,Atlantic,Buena Borough,77.52765693
87871,Atlantic,Buena Borough,2.76157962
114,Atlantic,Buena Vista Township,0.57768918
579,Atlantic,Buena Vista Township,12.63885049
610,Atlantic,Buena Vista Township,9.62161794
1164,Atlantic,Buena Vista Township,0.44525264
1792,Atlantic,Buena Vista Township,2.43751063
1926,Atlantic,Buena Vista Township,0.99773073
1932,Atlantic,Buena Vista Township,10.32935916
5407,Atlantic,Buena Vista Township,0.28259406
5428,Atlantic,Buena Vista Township,8.3712975
5432,Atlantic,Buena Vista Township,18.49232524
5434,Atlantic,Buena Vista Township,19.42306393
5471,Atlantic,Buena Vista Township,10.16350935
5769,Atlantic,Buena Vista Township,10.35817616
5953,Atlantic,Buena Vista Township,19.77279985
6019,Atlantic,Buena Vista Township,5.41927896
6024,Atlantic,Buena Vista Township,14.35364564
6117,Atlantic,Buena Vista Township,0.27158972
6228,Atlantic,Buena Vista Township,6.60834773
6240,Atlantic,Buena Vista Township,0.27358952
6280,Atlantic,Buena Vista Township,9.66670531
6449,Atlantic,Buena Vista Township,59.23768291
6763,Atlantic,Buena Vista Township,106.6305038
6770,Atlantic,Buena Vista Township,11.92986233
7911,Atlantic,Buena Vista Township,0.33879146
8288,Atlantic,Buena Vista Township,100.404753
8289,Atlantic,Buena Vista Township,75.06786132
