Municipality,Total_Acres_Open_Space,Total_Acres_In_Municipality
1,390.772836,3499.52
2,941.6705367,6886.4
3,3116.170626,4174.08
4,309.9271394,4846.72
5,2779.443567,26291.2
6,3892.985708,4926.08
7,135.3222487,6944.64
8,5790.859575,42910.08
9,22798.82768,34167.68
10,741.4369089,5288.96
11,4792.145324,56747.52
12,29012.47454,25240.32
13,9345.076762,26079.36
14,505.1169207,2439.04
15,11.42869512,252.8
16,75.75829595,906.24
17,10463.84476,36080
18,406.0392193,2292.48
19,265.4646819,3661.44
20,1380.390406,4775.68
21,127.5288276,2566.4
22,118.3195664,1251.2
23,1161.329841,7566.08
24,217.4816396,1982.08
25,2469.876226,4096.64
26,89.1278695,1858.56
27,13.54902998,483.2
28,11.7563134,2526.08
29,11.86173622,611.84
30,241.594711,2022.4
31,101.2391664,1321.6
32,173.1926136,1326.08
33,41.12486057,1247.36
34,37.05299135,2375.68
35,118.4989031,621.44
36,44.02714272,1691.52
37,28.01490206,1427.84
38,232.5605198,3152
39,294.7622618,1360.64
40,232.7493839,3286.4
41,6.17127224,540.16
42,241.3822723,1611.52
43,566.1979925,6024.96
44,68.53773995,1351.04
45,138.7681125,1729.92
46,129.7203068,2682.24
47,115.8111664,1181.44
48,118.8832982,1239.68
49,125.6817637,1857.28
50,33.0807676,1112.96
51,301.4832485,974.72
52,61.51905122,945.28
53,35.98933718,1454.08
54,518.3607809,2933.76
55,8354.86364,16250.88
56,22.70996705,823.68
57,7.75263236,1005.44
58,42.69422198,2574.72
59,4.56391559,1107.2
60,101.8976285,1461.12
61,34.19480621,1589.76
62,9.97231627,809.6
63,347.9510092,1782.4
64,1682.389344,5441.28
65,91.98255152,2121.6
66,136.9263286,1543.04
67,84.83554797,792.96
68,618.7251785,6684.8
69,126.1561619,1668.48
70,333.4602364,3521.92
71,68.30203265,1627.52
72,126.702748,1091.2
73,272.6180002,3674.88
74,146.2598778,1173.12
75,218.2973837,2604.8
76,71.0211179,634.24
77,253.7457273,641.92
78,48.85585007,1779.84
79,91.20484615,1722.88
80,30.72676664,3146.24
81,4.99395324,458.88
82,732.5618921,3866.24
83,669.6816327,2935.04
84,68.93222097,3361.92
85,49.92984136,1309.44
86,28.05987751,636.16
87,59549.23301,1889.92
88,139.9484929,1445.76
89,93.79633481,2160.64
90,12.02262883,1008
91,151.5706416,4228.48
92,22218.29246,48079.36
93,120.5237628,598.4
94,867.4185641,5544.32
95,600.7676168,1942.4
96,586.0027006,8624.64
97,228.3232304,13639.04
98,253.9757954,4751.36
99,286.6724978,1509.12
100,709.9168701,4243.2
101,1058.137084,3667.2
102,118.9664145,1868.16
103,3717.620966,18659.84
104,6.20483886,178.56
105,200.5628214,6252.16
106,784.8307779,4140.8
107,396.2139382,8243.84
108,5237.251097,13909.12
109,105.2764527,2449.28
110,5529.105903,24831.36
111,683.2597801,9426.56
112,155.938742,1807.36
113,1504.790288,13903.36
114,29.5816991,14293.76
115,177.3960411,11115.52
116,205.70752,1183.36
117,61.07494944,377.6
118,10949.50054,39395.84
119,92.03327833,949.76
120,17.11424292,423.68
121,17562.65536,28449.28
122,3455.289704,28132.48
123,1497.089676,18887.68
124,15551.39055,31489.28
125,59549.23301,65063.04
126,1303.026263,7023.36
127,450.3163264,4944
128,40397.17796,59288.32
129,20.87413334,4218.24
130,21.352897,948.48
131,3.70475934,1011.84
132,59.04494974,1909.76
133,225.069594,2300.16
134,31.56827567,2138.88
135,28.93299953,312.32
136,477.2953406,5709.44
137,1469.8928,15406.08
138,19.78258701,1097.6
139,250.8220566,1211.52
140,118.7752966,1171.2
141,173.8715416,1377.28
142,66.00269769,1481.6
143,863.1887849,14690.56
144,77.32912769,1002.24
145,207.8088605,1722.88
146,209.8024004,1789.44
147,13.50668872,288.64
148,33.25384759,915.2
149,275.5956734,2497.28
150,7.56587857,625.92
151,9.30156546,379.52
152,21.766658,565.76
153,48.24537212,401.28
154,530.2270891,6706.56
155,403.4497952,3114.24
156,89.87709184,1312.64
157,39.70085377,890.88
158,71.31254231,1004.8
159,590.2701122,7341.44
160,14288.90745,23041.28
161,8770.601817,36746.88
162,5.95724802,139.52
163,1900.83701,2732.8
164,865.1311865,1582.72
165,35.81082556,188.8
166,19528.32815,38669.44
167,5908.156593,17521.92
168,17795.7177,44952.32
169,201.2937956,1104
170,1958.210941,4321.92
171,664.7510126,1410.56
172,192.7716071,908.8
173,18097.59596,39697.28
174,21.08251566,750.72
175,0.1469246,183.04
176,109.1166925,986.24
177,151.2215937,830.72
178,401.0231186,5132.16
179,442.3645341,3985.92
180,9211.184665,20424.96
181,163.4162347,10778.88
182,23814.33773,30977.92
183,13774.63692,6481.92
184,1805.164131,11374.08
185,9933.807646,37165.44
186,12603.58008,13904
187,32871.59076,59626.24
188,9188.048694,26879.36
189,1883.560497,11690.24
190,506.7058899,19994.24
191,7282.141135,43771.52
192,220.6369193,2109.44
193,215.5162568,3415.68
194,33.85896263,753.92
195,503.7835783,2711.68
196,48.54137633,2513.92
197,17.57910724,901.12
198,13774.63692,26316.16
199,28.5076077,816
200,56.60920144,1864.96
201,2045.15595,8822.4
202,542.1928482,2479.36
203,1747.837698,5973.12
204,289.809781,3992.32
205,864.5973751,15452.16
206,97.60933856,1963.52
207,135.9420278,2158.08
208,65.3179662,1416.32
209,472.1268449,2315.52
210,94.0757225,1821.44
211,233.9625928,1788.16
212,613.0400166,3262.08
213,1405.984143,7681.92
214,1531.765778,4528
215,473.4497574,11091.84
216,375.248154,9243.52
217,119.4586279,12260.48
218,12479.8207,35731.2
219,1235.169951,5964.8
220,1805.164131,5748.48
221,261.6697992,12116.48
222,449.7752048,14033.92
223,1014.796853,10243.2
224,8872.375618,29709.44
225,38.1302825,644.48
226,37.27078267,1112.32
227,21.53357913,1231.36
228,94.81411456,1419.52
229,180.4648096,10172.8
230,18.8765565,467.84
231,59549.23301,13661.44
232,132.1599326,637.44
233,448.3873859,9828.48
234,66.55032979,655.36
235,140.9588357,1292.8
236,27.83319491,797.44
237,894.5082638,1184
238,216.8769688,3725.44
239,0.62593332,65.92
240,1.33299029,123.52
241,38.71202709,775.04
242,103.4526167,800
243,1699.569199,9436.16
244,1178.285212,5660.16
245,202.3784677,3287.04
246,669.7776286,3728.64
247,23.28554935,823.68
248,35.26480607,501.76
249,37.44530385,636.16
250,1129.808736,17621.76
251,2578.126549,13237.12
252,134.422976,596.48
253,75.706981,613.76
254,222.5575875,861.44
255,6197.61165,19116.16
256,2542.829916,23459.84
257,2362.606171,18211.2
258,21.44732921,689.28
259,12479.8207,14742.4
260,203.3593377,721.92
261,102.3280831,990.72
262,45.60026027,963.2
263,550.8603981,1530.24
264,2164.354785,15020.16
265,2128.625503,22403.84
266,76.20428945,693.76
267,19.96495965,577.28
268,4828.784492,20114.56
269,139.7553902,756.48
270,2526.86975,23988.48
271,3679.59105,30437.12
272,133.9684947,349.44
273,1774.279562,20252.8
274,4876.345574,12009.6
275,2160.700791,13854.08
276,1360.068354,9962.88
277,633.3176688,9731.84
278,29012.47454,70972.8
279,1.11064497,789.12
280,21.92268152,463.36
281,9933.807646,19129.6
282,12603.58008,23630.72
283,8.74149497,615.04
284,1634.255515,11485.44
285,2240.981379,13082.24
286,431.9065842,4850.56
287,4843.346506,16351.36
288,138.3694505,2810.24
289,309.4331811,8501.12
290,10.1301545,679.68
291,2748.451849,13941.76
292,1974.889665,19243.52
293,195.5530797,529.92
294,159.2294988,1165.44
295,17.30525043,564.48
296,96.12506452,1823.36
297,186.4182219,2232.32
298,72.55042019,994.56
299,8872.375618,26843.52
300,306.0291588,3349.12
301,788.3182828,7700.48
302,5605.886243,24435.84
303,118.5372708,2983.68
304,1194.624478,12028.16
305,1617.077208,7512.32
306,863.0769827,10131.2
307,41.56841856,984.32
308,4465.920461,25992.96
309,329.2341754,5309.44
310,227.7930346,1782.4
311,110.1763592,1476.48
312,789.2383205,14885.12
313,632.4345043,3456
314,15.59183449,160
315,67.4636141,381.44
316,111.4917207,914.56
317,73.17202634,808.96
318,29.77924969,272.64
319,71.33669427,668.8
320,68.39902473,390.4
321,34.52617373,1123.84
322,1964.969204,19657.6
323,9.06646927,757.76
324,235.8917129,3738.24
325,18.57456529,364.8
326,95.07231276,1019.52
327,11.8597135,1236.48
328,7905.109223,24737.92
329,440.9769871,3564.16
330,34.34494843,473.6
331,1723.726186,11422.08
332,6022.356584,38573.44
333,39.97187735,686.08
334,37.64580524,883.84
335,11.63744186,161.28
336,104.9658609,1735.68
337,6.01543658,55.68
338,87.63496799,3279.36
339,160.4430021,3279.36
340,2170.538913,19616.64
341,143.4057232,883.2
342,2357.639584,19417.6
343,157.6619986,1450.24
344,3971.683495,26207.36
345,5325.567911,23428.48
346,7.09453922,666.88
347,4.90576319,573.44
348,614.3346885,5201.28
349,5484.107884,6954.88
350,171.3758564,2030.08
351,41.19242349,1117.44
352,563.0324887,1241.6
353,173.406045,3242.88
354,3.71537051,460.8
355,64.89523795,678.4
356,101.9549766,1383.04
357,2.26108057,63.36
