County,Latitude,Longitude,Total_Acres
Atlantic,40.778325,-74.7192989,390.772836
Bergen,40.778325,-74.7192989,1231467.886
Burlington,40.778325,-74.7192989,1149059.607
Camden,40.778325,-74.7192989,952370.0931
Cape May,40.778325,-74.7192989,67831.19562
Cumberland,40.778325,-74.7192989,123480.5389
Essex,40.778325,-74.7192989,23507.32223
Gloucester,40.778325,-74.7192989,90269.41565
Hudson,40.778325,-74.7192989,4207.006703
Hunterdon,40.778325,-74.7192989,53156.53132
Mercer,40.778325,-74.7192989,62725.5131
Middlesex,40.778325,-74.7192989,31238.31185
Monmouth,40.778325,-74.7192989,53784.35307
Morris,40.778325,-74.7192989,128067.2717
Ocean,40.778325,-74.7192989,465602.5692
Passaic,40.778325,-74.7192989,39473.97617
Salem,40.778325,-74.7192989,25737.6486
Somerset,40.778325,-74.7192989,36711.27228
Sussex,40.778325,-74.7192989,91779.15821
Union,40.778325,-74.7192989,12721.71917
Warren,40.778325,-74.7192989,114285.8661
