,,,,,Area,,,,,Density,,,,,Census Population,,,,,Estimated Population,,,,,% Change,,,,,Population 25+,,,,,College Grads,,,,,% College Grads,,,,,Foreign Born,,,,,% Foreign Born,,,,,African American,,,,,% African American,,,,,Asian,,,,,% Asian,,,,,Hispanic,,,,,% Hispanic,,,,,# Age 0-5,,,,,% Age 0-5,,,,,Age 65+,,,,,% Age 65+,,,,,TANF Children,,,,,TANF %,,,,,SNAP Beneficiaries,,,,,% SNAP Beneficiaries,,,,,Violent Crimes,,,,,Non-Violent Crimes,,,,,Workforce,,,,,Unemployed,,,,,% Unemployed,,,,,Median Rent ($),,,,,Average Residential Property Value ($),,,,,Taxable Property Value ($),,,,,Income Per Taxpayer ($),,,,,No.of Taxpayers and Dependents,,,,,Municipal Budget per Capita ($),,,,,Municipal Budget ($),,,,,Property Tax as % Income,,,,,County Government Tax Rate (%),,,,,Municipal Tax Rate (%),,,,,School Tax Rate (%),,,,,Registered Voters,,,,,Registered Voters as % of Population,,,,,% Democrats,,,,,% Republicans,,,,,Voter Turnout (%),,,,,Governor DEM,,,,,Governor REP,,,,,State Senate DEM,,,,,State Senate REP,,,,,General Assembly DEM 1,,,,,General Assembly DEM 2,,,,,General Assembly REP 1,,,,,General Assembly REP 2,,,,,President DEM,,,,,President REP,,,,,US Senate DEM,,,,,US Senate REP,,,,,Congress DEM,,,,,Congress REP,,,,
County,Municipality,DLGS Code,LD,CD,2017: Area,2018: Area,2019: Area,2020: Area,2021: Area,2017: Density,2018: Density,2019: Density,2020: Density,2021: Density,2017: Census Population,2018: Census Population,2019: Census Population,2020: Census Population,2021: Census Population,2017: Estimated Population,2018: Estimated Population,2019: Estimated Population,2020: Estimated Population,2021: Estimated Population,2017: % Change,2018: % Change,2019: % Change,2020: % Change,2021: % Change,2017: Population 25+,2018: Population 25+,2019: Population 25+,2020: Population 25+,2021: Population 25+,2017: College Grads,2018: College Grads,2019: College Grads,2020: College Grads,2021: College Grads,2017: % College Grads,2018: % College Grads,2019: % College Grads,2020: % College Grads,2021: % College Grads,2017: Foreign Born,2018: Foreign Born,2019: Foreign Born,2020: Foreign Born,2021: Foreign Born,2017: % Foreign Born,2018: % Foreign Born,2019: % Foreign Born,2020: % Foreign Born,2021: % Foreign Born,2017: African American,2018: African American,2019: African American,2020: African American,2021: African American,2017: % African American,2018: % African American,2019: % African American,2020: % African American,2021: % African American,2017: Asian,2018: Asian,2019: Asian,2020: Asian,2021: Asian,2017: % Asian,2018: % Asian,2019: % Asian,2020: % Asian,2021: % Asian,2017: Hispanic,2018: Hispanic,2019: Hispanic,2020: Hispanic,2021: Hispanic,2017: % Hispanic,2018: % Hispanic,2019: % Hispanic,2020: % Hispanic,2021: % Hispanic,2017: # Age 0-5,2018: # Age 0-5,2019: # Age 0-5,2020: # Age 0-5,2021: # Age 0-5,2017: % Age 0-5,2018: % Age 0-5,2019: % Age 0-5,2020: % Age 0-5,2021: % Age 0-5,2017: Age 65+,2018: Age 65+,2019: Age 65+,2020: Age 65+,2021: Age 65+,2017: % Age 65+,2018: % Age 65+,2019: % Age 65+,2020: % Age 65+,2021: % Age 65+,2017: TANF Children,2018: TANF Children,2019: TANF Children,2020: TANF Children,2021: TANF Children,2017: TANF %,2018: TANF %,2019: TANF %,2020: TANF %,2021: TANF %,2017: SNAP Beneficiaries,2018: SNAP Beneficiaries,2019: SNAP Beneficiaries,2020: SNAP Beneficiaries,2021: SNAP Beneficiaries,2017: % SNAP Beneficiaries,2018: % SNAP Beneficiaries,2019: % SNAP Beneficiaries,2020: % SNAP Beneficiaries,2021: % SNAP Beneficiaries,2017: Violent Crimes,2018: Violent Crimes,2019: Violent Crimes,2020: Violent Crimes,2021: Violent Crimes,2017: Non-Violent Crimes,2018: Non-Violent Crimes,2019: Non-Violent Crimes,2020: Non-Violent Crimes,2021: Non-Violent Crimes,2017: Workforce,2018: Workforce,2019: Workforce,2020: Workforce,2021: Workforce,2017: Unemployed,2018: Unemployed,2019: Unemployed,2020: Unemployed,2021: Unemployed,2017: % Unemployed,2018: % Unemployed,2019: % Unemployed,2020: % Unemployed,2021: % Unemployed,2017: Median Rent ($),2018: Median Rent ($),2019: Median Rent ($),2020: Median Rent ($),2021: Median Rent ($),2017: Average Residential Property Value ($),2018: Average Residential Property Value ($),2019: Average Residential Property Value ($),2020: Average Residential Property Value ($),2021: Average Residential Property Value ($),2017: Taxable Property Value ($),2018: Taxable Property Value ($),2019: Taxable Property Value ($),2020: Taxable Property Value ($),2021: Taxable Property Value ($),2017: Income Per Taxpayer ($),2018: Income Per Taxpayer ($),2019: Income Per Taxpayer ($),2020: Income Per Taxpayer ($),2021: Income Per Taxpayer ($),2017: No.of Taxpayers and Dependents,2018: No.of Taxpayers and Dependents,2019: No.of Taxpayers and Dependents,2020: No.of Taxpayers and Dependents,2021: No.of Taxpayers and Dependents,2017: Municipal Budget per Capita ($),2018: Municipal Budget per Capita ($),2019: Municipal Budget per Capita ($),2020: Municipal Budget per Capita ($),2021: Municipal Budget per Capita ($),2017: Municipal Budget ($),2018: Municipal Budget ($),2019: Municipal Budget ($),2020: Municipal Budget ($),2021: Municipal Budget ($),2017: Property Tax as % Income,2018: Property Tax as % Income,2019: Property Tax as % Income,2020: Property Tax as % Income,2021: Property Tax as % Income,2017: County Government Tax Rate (%),2018: County Government Tax Rate (%),2019: County Government Tax Rate (%),2020: County Government Tax Rate (%),2021: County Government Tax Rate (%),2017: Municipal Tax Rate (%),2018: Municipal Tax Rate (%),2019: Municipal Tax Rate (%),2020: Municipal Tax Rate (%),2021: Municipal Tax Rate (%),2017: School Tax Rate (%),2018: School Tax Rate (%),2019: School Tax Rate (%),2020: School Tax Rate (%),2021: School Tax Rate (%),2017: Registered Voters,2018: Registered Voters,2019: Registered Voters,2020: Registered Voters,2021: Registered Voters,2017: Registered Voters as % of Population,2018: Registered Voters as % of Population,2019: Registered Voters as % of Population,2020: Registered Voters as % of Population,2021: Registered Voters as % of Population,2017: % Democrats,2018: % Democrats,2019: % Democrats,2020: % Democrats,2021: % Democrats,2017: % Republicans,2018: % Republicans,2019: % Republicans,2020: % Republicans,2021: % Republicans,2017: Voter Turnout (%),2018: Voter Turnout (%),2019: Voter Turnout (%),2020: Voter Turnout (%),2021: Voter Turnout (%),2017: Governor DEM,2018: Governor DEM,2019: Governor DEM,2020: Governor DEM,2021: Governor DEM,2017: Governor REP,2018: Governor REP,2019: Governor REP,2020: Governor REP,2021: Governor REP,2017: State Senate DEM,2018: State Senate DEM,2019: State Senate DEM,2020: State Senate DEM,2021: State Senate DEM,2017: State Senate REP,2018: State Senate REP,2019: State Senate REP,2020: State Senate REP,2021: State Senate REP,2017: General Assembly DEM 1,2018: General Assembly DEM 1,2019: General Assembly DEM 1,2020: General Assembly DEM 1,2021: General Assembly DEM 1,2017: General Assembly DEM 2,2018: General Assembly DEM 2,2019: General Assembly DEM 2,2020: General Assembly DEM 2,2021: General Assembly DEM 2,2017: General Assembly REP 1,2018: General Assembly REP 1,2019: General Assembly REP 1,2020: General Assembly REP 1,2021: General Assembly REP 1,2017: General Assembly REP 2,2018: General Assembly REP 2,2019: General Assembly REP 2,2020: General Assembly REP 2,2021: General Assembly REP 2,2017: President DEM,2018: President DEM,2019: President DEM,2020: President DEM,2021: President DEM,2017: President REP,2018: President REP,2019: President REP,2020: President REP,2021: President REP,2017: US Senate DEM,2018: US Senate DEM,2019: US Senate DEM,2020: US Senate DEM,2021: US Senate DEM,2017: US Senate REP,2018: US Senate REP,2019: US Senate REP,2020: US Senate REP,2021: US Senate REP,2017: Congress DEM,2018: Congress DEM,2019: Congress DEM,2020: Congress DEM,2021: Congress DEM,2017: Congress REP,2018: Congress REP,2019: Congress REP,2020: Congress REP,2021: Congress REP
Atlantic,Absecon,101,2,2,5.4,5.4,5.4,5.47,5.47,1534,1563,1633,1607,NULL,8411,8411,8411,9137,9137,8283,8442,8818,8789,NULL,-1.52,0.37,4.84,-3.81,NULL,6124,5902,6050,NULL,NULL,1890,1686,1697,NULL,NULL,30.86,28.57,28.05,NULL,NULL,913,812,975,NULL,NULL,10.91,2.12,11.66,NULL,NULL,832,832,832,1035,1035,9.89,9.89,9.89,11.33,11.33,667,667,667,691,691,7.93,7.93,7.93,7.56,7.56,631,631,631,1086,1086,7.5,7.5,7.5,11.89,11.89,465,465,465,NULL,NULL,5.53,5.53,5.53,NULL,NULL,1431,1431,1431,NULL,NULL,17.01,17.01,17.01,NULL,NULL,45,45,27,24,19,0.54,0.54,0.32,0.27,0.22,1257,1219,1144,982,1282,15.15,14.72,13.55,11.14,14.59,11,17,4,25,NULL,229,181,127,345,NULL,4060,3993,4212,4437,NULL,269,207,195,769,NULL,6.63,5.18,4.63,17.33,NULL,1294,1356,1402,NULL,NULL,176556,181273,178058,170824,NULL,727840911,749575777,743893642,717707095,NULL,29223.52,NULL,NULL,NULL,NULL,7627,NULL,NULL,NULL,NULL,1248,1253,1220,1240,NULL,10334661,10575000,10755000,10898925,0,7.47,NULL,NULL,NULL,NULL,0.53,0.5,0.51,0.52,NULL,0.96,0.93,0.94,0.99,NULL,1.64,1.62,1.64,1.72,NULL,6110,6458,6645,7189,NULL,73.77,76.5,75.36,81.8,NULL,28.78,29.76,51.95,33.26,NULL,29.37,28.89,48.05,29.65,NULL,43.5,57.66,39.41,75.8,NULL,1301,NULL,NULL,NULL,NULL,1222,NULL,NULL,NULL,NULL,1019,NULL,NULL,NULL,NULL,1567,NULL,NULL,NULL,NULL,1248,NULL,1239,NULL,NULL,1200,NULL,1169,NULL,NULL,1251,NULL,1322,NULL,NULL,1237,NULL,1344,NULL,NULL,NULL,NULL,NULL,2596,NULL,NULL,NULL,NULL,2675,NULL,NULL,1551,NULL,2575,NULL,NULL,1961,NULL,2566,NULL,NULL,1952,NULL,2540,NULL,NULL,1643,NULL,2658,NULL
Atlantic,Atlantic City,102,2,2,10.75,10.75,10.75,10.76,10.76,3575,3517,3511,3492,NULL,39558,39558,39558,38497,38497,38429,37804,37743,37569,NULL,-2.85,-4.43,-4.59,-2.41,NULL,25303,25507,24991,NULL,NULL,4127,4181,4055,NULL,NULL,16.31,16.39,16.23,NULL,NULL,12914,12667,12024,NULL,NULL,33.05,141.28,31.64,NULL,NULL,15148,15148,15148,13079,13079,38.29,38.29,38.29,33.97,33.97,6153,6153,6153,6208,6208,15.55,15.55,15.55,16.13,16.13,12044,12044,12044,11513,11513,30.45,30.45,30.45,29.91,29.91,3079,3079,3079,NULL,NULL,7.78,7.78,7.78,NULL,NULL,5036,5036,5036,NULL,NULL,12.73,12.73,12.73,NULL,NULL,610,529,368,389,415,1.57,1.38,0.97,1.03,1.1,15698,14933,13469,12549,14799,40.53,38.86,35.63,33.25,39.39,425,276,89,309,NULL,1732,1181,948,1013,NULL,14903,14406,14653,15995,NULL,1505,1111,1039,4113,NULL,10.1,7.71,7.09,25.71,NULL,858,872,904,NULL,NULL,127451,122653,137608,144901,NULL,2799270870,2757788636,2868251380,2759260140,NULL,13851.32,NULL,NULL,NULL,NULL,25645,NULL,NULL,NULL,NULL,5781,5961,5800,5609,NULL,222142711,225334875,218901494,210734743,0,12.2,NULL,NULL,NULL,NULL,0.27,0.22,0.4,0.45,NULL,2,1.88,1.58,1.55,NULL,1.5,1.56,1.49,1.55,NULL,22582,22933,23824,25271,NULL,58.76,60.66,63.12,67.27,NULL,55.92,94.97,84.87,57.66,NULL,9.16,9.41,15.13,10.38,NULL,33.87,38.27,26.16,53.78,NULL,5576,NULL,NULL,NULL,NULL,1287,NULL,NULL,NULL,NULL,4129,NULL,NULL,NULL,NULL,2425,NULL,NULL,NULL,NULL,4483,NULL,4241,NULL,NULL,4064,NULL,4080,NULL,NULL,1432,NULL,1196,NULL,NULL,1355,NULL,1236,NULL,NULL,NULL,NULL,NULL,9982,NULL,NULL,NULL,NULL,2879,NULL,NULL,6039,NULL,9627,NULL,NULL,1810,NULL,2438,NULL,NULL,6490,NULL,8791,NULL,NULL,1493,NULL,3358,NULL
Atlantic,Brigantine,103,2,2,6.39,6.39,6.39,6.52,6.52,1403,1372,1354,1315,NULL,9450,9450,9450,7716,7716,8963,8765,8650,8577,NULL,-5.15,-7.25,-8.47,11.16,NULL,7616,7429,7368,NULL,NULL,2611,2576,2704,NULL,NULL,34.28,34.67,36.7,NULL,NULL,887,793,732,NULL,NULL,9.68,17.93,8.29,NULL,NULL,275,275,275,155,155,2.91,2.91,2.91,2.01,2.01,446,446,446,385,385,4.72,4.72,4.72,4.99,4.99,650,650,650,488,488,6.88,6.88,6.88,6.32,6.32,379,379,379,NULL,NULL,4.01,4.01,4.01,NULL,NULL,2056,2056,2056,NULL,NULL,21.76,21.76,21.76,NULL,NULL,32,28,14,12,12,0.35,0.31,0.16,0.14,0.14,658,572,518,407,542,7.28,6.38,5.91,4.71,6.32,2,1,1,5,NULL,110,129,74,157,NULL,4359,4252,4300,4182,NULL,266,194,169,618,NULL,6.1,4.56,3.93,14.78,NULL,1264,1263,1344,NULL,NULL,365841,368172,376633,383187,NULL,3267332093,3292677621,3374079128,3437695738,NULL,37284.52,NULL,NULL,NULL,NULL,6479,NULL,NULL,NULL,NULL,3371,3353,3336,3562,NULL,30213028,29385193,28854260,30550921,0,10.16,NULL,NULL,NULL,NULL,0.57,0.55,0.53,0.53,NULL,0.67,0.66,0.63,0.61,NULL,0.51,0.51,0.5,0.49,NULL,6775,6822,6904,7332,NULL,75.59,77.83,79.82,85.48,NULL,22.16,22.24,34.59,24.59,NULL,42.24,42.13,65.41,43.07,NULL,43.9,59.98,39.17,73.06,NULL,1207,NULL,NULL,NULL,NULL,1616,NULL,NULL,NULL,NULL,930,NULL,NULL,NULL,NULL,1957,NULL,NULL,NULL,NULL,1012,NULL,897,NULL,NULL,1017,NULL,872,NULL,NULL,1871,NULL,1736,NULL,NULL,1692,NULL,1823,NULL,NULL,NULL,NULL,NULL,2185,NULL,NULL,NULL,NULL,3020,NULL,NULL,1391,NULL,2098,NULL,NULL,2494,NULL,2972,NULL,NULL,1759,NULL,2183,NULL,NULL,2186,NULL,2997,NULL
Atlantic,Buena,104,2,2,7.58,7.58,7.58,7.57,7.57,584,573,565,564,NULL,4603,4603,4603,4501,4501,4429,4347,4284,4267,NULL,-3.78,-5.56,-6.93,-5.2,NULL,3140,3063,2962,NULL,NULL,558,625,569,NULL,NULL,17.77,20.4,19.21,NULL,NULL,389,369,319,NULL,NULL,8.63,5.01,7.32,NULL,NULL,434,434,434,319,319,9.43,9.43,9.43,7.09,7.09,82,82,82,79,79,1.78,1.78,1.78,1.76,1.76,1354,1354,1354,1449,1449,29.42,29.42,29.42,32.19,32.19,303,303,303,NULL,NULL,6.58,6.58,6.58,NULL,NULL,653,653,653,NULL,NULL,14.19,14.19,14.19,NULL,NULL,28,40,22,24,22,0.63,0.9,0.51,0.56,0.52,627,612,530,491,655,14.07,13.82,12.19,11.46,15.35,14,5,3,2,NULL,111,72,48,39,NULL,1944,1901,1927,1800,NULL,148,115,103,228,NULL,7.61,6.05,5.35,12.67,NULL,838,939,899,NULL,NULL,161849,154295,156693,160417,NULL,271545480,258414057,263114085,268698665,NULL,23221.91,NULL,NULL,NULL,NULL,3293,NULL,NULL,NULL,NULL,977,955,1009,1160,NULL,4327290,4151407,4324441,4951764,0,8.79,NULL,NULL,NULL,NULL,0.56,0.58,0.53,0.52,NULL,1.09,1.13,1.11,1.08,NULL,1.63,1.78,1.79,1.79,NULL,2898,3005,3085,3303,NULL,65.43,69.13,72.01,77.41,NULL,25.27,26.02,48.03,27.15,NULL,28.24,28.02,51.97,29.14,NULL,32.92,47.19,24.8,66.24,NULL,449,NULL,NULL,NULL,NULL,459,NULL,NULL,NULL,NULL,393,NULL,NULL,NULL,NULL,507,NULL,NULL,NULL,NULL,439,NULL,336,NULL,NULL,469,NULL,331,NULL,NULL,404,NULL,401,NULL,NULL,398,NULL,406,NULL,NULL,NULL,NULL,NULL,964,NULL,NULL,NULL,NULL,1140,NULL,NULL,583,NULL,950,NULL,NULL,733,NULL,1057,NULL,NULL,737,NULL,911,NULL,NULL,623,NULL,1143,NULL
Atlantic,Buena Vista,105,2,2,41.05,41.05,41.05,41.08,41.08,181,178,176,176,NULL,7570,7570,7570,7033,7033,7422,7299,7215,7221,NULL,-1.96,-3.58,-4.69,2.67,NULL,5021,5154,5111,NULL,NULL,1032,828,681,NULL,NULL,20.55,16.07,13.32,NULL,NULL,342,397,309,NULL,NULL,4.57,86.87,4.24,NULL,NULL,1018,1018,1018,737,737,13.45,13.45,13.45,10.48,10.48,80,80,80,59,59,1.06,1.06,1.06,0.84,0.84,869,869,869,909,909,11.48,11.48,11.48,12.92,12.92,366,366,366,NULL,NULL,4.83,4.83,4.83,NULL,NULL,1242,1242,1242,NULL,NULL,16.41,16.41,16.41,NULL,NULL,26,25,18,11,5,0.35,0.34,0.25,0.15,0.07,575,536,505,460,595,7.71,7.22,6.92,6.38,8.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3228,3199,3221,3052,NULL,255,241,192,436,NULL,7.9,7.53,5.96,14.29,NULL,1066,1320,1230,NULL,NULL,195402,191882,196755,207713,NULL,584140061,573630854,595040808,626806658,NULL,26558.25,NULL,NULL,NULL,NULL,5887,NULL,NULL,NULL,NULL,625,748,690,709,NULL,4638774,5459256,4975471,5117351,0,7.53,NULL,NULL,NULL,NULL,0.55,0.56,0.53,0.51,NULL,0.45,0.46,0.46,0.45,NULL,1.7,1.74,1.73,1.72,NULL,5078,5260,5389,5764,NULL,68.42,72.06,74.69,79.82,NULL,36.04,35.38,57.14,33.65,NULL,23.69,24.35,42.86,28.76,NULL,38.79,52.81,28.86,72.28,NULL,984,NULL,NULL,NULL,NULL,871,NULL,NULL,NULL,NULL,927,NULL,NULL,NULL,NULL,925,NULL,NULL,NULL,NULL,1018,NULL,769,NULL,NULL,1097,NULL,805,NULL,NULL,757,NULL,687,NULL,NULL,712,NULL,731,NULL,NULL,NULL,NULL,NULL,1711,NULL,NULL,NULL,NULL,2341,NULL,NULL,1095,NULL,1698,NULL,NULL,1497,NULL,2206,NULL,NULL,1415,NULL,1672,NULL,NULL,1254,NULL,2284,NULL
Atlantic,Corbin City,106,1,2,7.67,7.67,7.67,7.7,7.7,65,64,64,63,NULL,492,492,492,471,471,500,493,491,488,NULL,1.63,0.2,-0.2,3.61,NULL,358,327,382,NULL,NULL,84,92,122,NULL,NULL,23.46,28.13,31.94,NULL,NULL,7,8,3,NULL,NULL,1.41,0.02,0.56,NULL,NULL,2,2,2,2,2,0.41,0.41,0.41,0.42,0.42,6,6,6,0,0,1.22,1.22,1.22,0,0,17,17,17,17,17,3.46,3.46,3.46,3.61,3.61,35,35,35,NULL,NULL,7.11,7.11,7.11,NULL,NULL,60,60,60,NULL,NULL,12.2,12.2,12.2,NULL,NULL,49,NULL,NULL,1,1,9.82,NULL,NULL,0.2,0.2,44,54,48,71,69,8.82,10.8,9.74,14.46,14.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,253,250,252,236,NULL,20,16,13,27,NULL,7.91,6.4,5.16,11.44,NULL,1277,1339,1286,NULL,NULL,201665,194706,194706,206548,NULL,53784158,51526523,51258081,54352853,NULL,29566.33,NULL,NULL,NULL,NULL,361,NULL,NULL,NULL,NULL,1132,1051,1110,1403,NULL,566155,518264,545227,684779,0,6.45,NULL,NULL,NULL,NULL,0.55,0.58,0.54,0.5,NULL,0.29,0.32,0.33,0.31,NULL,0.95,0.99,1,0.96,NULL,350,354,374,409,NULL,70,71.81,76.17,83.81,NULL,20.86,22.03,28.73,22.25,NULL,53.14,51.69,71.27,49.63,NULL,55.43,66.95,47.06,81.66,NULL,86,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,99,NULL,55,NULL,NULL,94,NULL,53,NULL,NULL,77,NULL,113,NULL,NULL,76,NULL,116,NULL,NULL,NULL,NULL,NULL,109,NULL,NULL,NULL,NULL,216,NULL,NULL,77,NULL,103,NULL,NULL,142,NULL,215,NULL,NULL,116,NULL,104,NULL,NULL,117,NULL,219,NULL
Atlantic,Egg Harbor,107,2,2,10.93,10.93,10.93,67.05,67.05,382,375,371,61,NULL,4243,4243,4243,4396,4396,4174,4104,4052,4057,NULL,-1.63,-3.28,-4.5,-7.71,NULL,29527,2642,29005,NULL,NULL,9232,437,9166,NULL,NULL,31.27,16.54,31.6,NULL,NULL,7300,680,7059,NULL,NULL,16.72,38.81,16.53,NULL,NULL,761,761,761,840,840,17.94,17.94,17.94,19.11,19.11,94,94,94,117,117,2.22,2.22,2.22,2.66,2.66,1115,1115,1115,1223,1223,26.28,26.28,26.28,27.82,27.82,288,288,288,NULL,NULL,6.79,6.79,6.79,NULL,NULL,501,501,501,NULL,NULL,11.81,11.81,11.81,NULL,NULL,113,57,30,27,27,2.69,1.37,0.73,0.67,0.67,1452,1380,1237,1157,1488,34.63,33.06,30.14,28.55,36.68,15,9,4,15,NULL,136,122,137,156,NULL,1888,1859,1892,1883,NULL,165,144,137,368,NULL,8.74,7.75,7.24,19.54,NULL,988,1026,965,NULL,NULL,141044,128706,128929,126249,NULL,227965733,215565203,213750134,208211182,NULL,20692.96,NULL,NULL,NULL,NULL,3348,NULL,NULL,NULL,NULL,1434,1798,1488,1541,NULL,5987173,7380831,6029641,6251508,0,10.52,NULL,NULL,NULL,NULL,0.57,0.56,0.55,0.55,NULL,1.91,2.08,2.14,2.2,NULL,2.06,2.2,2.2,2.3,NULL,2767,2794,2857,3069,NULL,66.29,68.08,70.51,75.65,NULL,43.35,42.73,67.42,42.21,NULL,19.29,20.15,32.58,21.77,NULL,36.14,51.22,31.26,67.84,NULL,536,NULL,NULL,NULL,NULL,372,NULL,NULL,NULL,NULL,461,NULL,NULL,NULL,NULL,461,NULL,NULL,NULL,NULL,529,NULL,434,NULL,NULL,489,NULL,411,NULL,NULL,350,NULL,428,NULL,NULL,343,NULL,422,NULL,NULL,NULL,NULL,NULL,1138,NULL,NULL,NULL,NULL,851,NULL,NULL,654,NULL,1101,NULL,NULL,675,NULL,786,NULL,NULL,795,NULL,1107,NULL,NULL,575,NULL,824,NULL
Atlantic,Egg Harbor Twp,108,2,2,66.6,66.6,66.6,10.85,10.85,650,639,634,3881,NULL,43323,43323,43323,47842,47842,43296,42578,42249,42105,NULL,-0.06,-1.72,-2.48,-11.99,NULL,2662,29057,2697,NULL,NULL,404,9248,438,NULL,NULL,15.18,31.83,16.24,NULL,NULL,607,7063,639,NULL,NULL,14.38,170.07,15.59,NULL,NULL,4152,4152,4152,4285,4285,9.58,9.58,9.58,8.96,8.96,5096,5096,5096,6005,6005,11.76,11.76,11.76,12.55,12.55,5630,5630,5630,8336,8336,13,13,13,17.42,17.42,2733,2733,2733,NULL,NULL,6.31,6.31,6.31,NULL,NULL,4669,4669,4669,NULL,NULL,10.78,10.78,10.78,NULL,NULL,NULL,89,67,60,81,NULL,0.21,0.16,0.14,0.19,4179,3903,3356,3015,3914,9.61,9.01,7.88,7.14,9.3,55,62,9,50,NULL,812,902,300,795,NULL,20318,19993,20277,20450,NULL,1305,1068,903,3644,NULL,6.42,5.34,4.45,17.82,NULL,1088,1001,1109,NULL,NULL,206935,207808,221592,225841,NULL,4048933033,4080188256,4333866422,4419000659,NULL,28564.75,NULL,NULL,NULL,NULL,42246,NULL,NULL,NULL,NULL,942,982,1030,1051,NULL,40782125,41790996,43506354,44239004,0,7.34,NULL,NULL,NULL,NULL,0.56,0.54,0.5,0.52,NULL,0.57,0.58,0.56,0.56,NULL,2.01,2.01,1.94,1.94,NULL,30117,31166,32186,35175,NULL,69.56,73.2,76.18,83.54,NULL,28.15,28.99,52,31.9,NULL,27.25,27.31,48,28.6,NULL,36.53,53.65,29.21,73.59,NULL,5708,NULL,NULL,NULL,NULL,4735,NULL,NULL,NULL,NULL,4548,NULL,NULL,NULL,NULL,6058,NULL,NULL,NULL,NULL,5565,NULL,4329,NULL,NULL,5154,NULL,4054,NULL,NULL,4757,NULL,4919,NULL,NULL,4734,NULL,4827,NULL,NULL,NULL,NULL,NULL,12986,NULL,NULL,NULL,NULL,11995,NULL,NULL,7474,NULL,12585,NULL,NULL,8303,NULL,11533,NULL,NULL,8913,NULL,12341,NULL,NULL,7084,NULL,12077,NULL
Atlantic,Estell Manor,109,1,2,53.32,53.32,53.32,53.39,53.39,32,32,32,33,NULL,1735,1735,1735,1668,1668,1720,1720,1729,1738,NULL,-0.86,-0.86,-0.35,4.2,NULL,1227,1217,1167,NULL,NULL,318,325,336,NULL,NULL,25.92,26.71,28.79,NULL,NULL,30,33,45,NULL,NULL,1.72,1.87,2.6,NULL,NULL,16,16,16,33,33,0.92,0.92,0.92,1.98,1.98,28,28,28,2,2,1.61,1.61,1.61,0.12,0.12,18,18,18,64,64,1.04,1.04,1.04,3.84,3.84,74,74,74,NULL,NULL,4.27,4.27,4.27,NULL,NULL,192,192,192,NULL,NULL,11.07,11.07,11.07,NULL,NULL,13,9,3,3,4,0.76,0.52,0.17,0.17,0.23,170,161,127,115,184,9.9,9.36,7.38,6.65,10.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,784,774,795,758,NULL,63,52,43,98,NULL,8.04,6.72,5.41,12.93,NULL,1083,1517,1518,NULL,NULL,186147,196015,193137,196543,NULL,161100261,169336398,166931015,171098425,NULL,30416.07,NULL,NULL,NULL,NULL,1486,NULL,NULL,NULL,NULL,661,745,846,862,NULL,1137660,1280929,1462579,1498437,0,6.53,NULL,NULL,NULL,NULL,0.55,0.53,0.55,0.53,NULL,0.29,0.27,0.31,0.31,NULL,1.47,1.4,1.5,1.52,NULL,1302,1345,1363,1434,NULL,75.7,78.2,78.83,82.51,NULL,20.22,20.3,33.38,19.12,NULL,35.05,34.94,66.62,40.01,NULL,57.6,63.79,48.28,80.82,NULL,277,NULL,NULL,NULL,NULL,398,NULL,NULL,NULL,NULL,445,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,363,NULL,195,NULL,NULL,319,NULL,193,NULL,NULL,297,NULL,429,NULL,NULL,329,NULL,412,NULL,NULL,NULL,NULL,NULL,337,NULL,NULL,NULL,NULL,799,NULL,NULL,218,NULL,331,NULL,NULL,594,NULL,769,NULL,NULL,347,NULL,309,NULL,NULL,484,NULL,805,NULL
